,trial,N,cm_count,rounds_played,adoption_established,adoption_alternative,adoption_other
0,3,1000,241,0,1.0,0.0,0.0
1,3,1000,241,1,1.0,0.0,0.0
2,3,1000,241,2,1.0,0.0,0.0
3,3,1000,241,3,1.0,0.0,0.0
4,3,1000,241,4,0.997419354839,0.00258064516129,0.0
5,3,1000,241,5,0.994904458599,0.00509554140127,0.0
6,3,1000,241,6,0.992167101828,0.00783289817232,0.0
7,3,1000,241,7,0.98613037448,0.0138696255201,0.0
8,3,1000,241,8,0.983761840325,0.0162381596752,0.0
9,3,1000,241,9,0.973718791064,0.0262812089356,0.0
10,3,1000,241,10,0.982005141388,0.0179948586118,0.0
11,3,1000,241,11,0.978695073236,0.0213049267643,0.0
12,3,1000,241,12,0.972037283622,0.0279627163782,0.0
13,3,1000,241,13,0.956291390728,0.0437086092715,0.0
14,3,1000,241,14,0.949735449735,0.0502645502646,0.0
15,3,1000,241,15,0.953519256308,0.0464807436919,0.0
16,3,1000,241,16,0.939072847682,0.0609271523179,0.0
17,3,1000,241,17,0.936758893281,0.0632411067194,0.0
18,3,1000,241,18,0.942010309278,0.0579896907216,0.0
19,3,1000,241,19,0.936855670103,0.0631443298969,0.0
20,3,1000,241,20,0.922572178478,0.0774278215223,0.0
21,3,1000,241,21,0.9375,0.0625,0.0
22,3,1000,241,22,0.908609271523,0.0913907284768,0.0
23,3,1000,241,23,0.923076923077,0.0769230769231,0.0
24,3,1000,241,24,0.913678618858,0.0863213811421,0.0
25,3,1000,241,25,0.891102257636,0.108897742364,0.0
26,3,1000,241,26,0.910994764398,0.0890052356021,0.0
27,3,1000,241,27,0.901660280971,0.0983397190294,0.0
28,3,1000,241,28,0.884308510638,0.115691489362,0.0
29,3,1000,241,29,0.868046571798,0.131953428202,0.0
30,3,1000,241,30,0.870541611625,0.129458388375,0.0
31,3,1000,241,31,0.856191744341,0.143808255659,0.0
32,3,1000,241,32,0.861294583884,0.138705416116,0.0
33,3,1000,241,33,0.854111405836,0.145888594164,0.0
34,3,1000,241,34,0.838370565046,0.161629434954,0.0
35,3,1000,241,35,0.836043360434,0.163956639566,0.0
36,3,1000,241,36,0.830852503383,0.169147496617,0.0
37,3,1000,241,37,0.786950732357,0.213049267643,0.0
38,3,1000,241,38,0.78125,0.21875,0.0
39,3,1000,241,39,0.763052208835,0.236947791165,0.0
40,3,1000,241,40,0.761904761905,0.238095238095,0.0
41,3,1000,241,41,0.725032425422,0.274967574578,0.0
42,3,1000,241,42,0.682065217391,0.317934782609,0.0
43,3,1000,241,43,0.653746770026,0.346253229974,0.0
44,3,1000,241,44,0.61311914324,0.38688085676,0.0
45,3,1000,241,45,0.570291777188,0.429708222812,0.0
46,3,1000,241,46,0.476253298153,0.523746701847,0.0
47,3,1000,241,47,0.466575716235,0.533424283765,0.0
48,3,1000,241,48,0.409986859396,0.590013140604,0.0
49,3,1000,241,49,0.359042553191,0.640957446809,0.0
50,3,1000,241,50,0.283678756477,0.716321243523,0.0
51,3,1000,241,51,0.226364846871,0.773635153129,0.0
52,3,1000,241,52,0.106870229008,0.893129770992,0.0
53,3,1000,241,53,0.0632411067194,0.936758893281,0.0
54,3,1000,241,54,0.0434210526316,0.956578947368,0.0
55,3,1000,241,55,0.0369881109643,0.963011889036,0.0
56,3,1000,241,56,0.00788436268068,0.992115637319,0.0
57,3,1000,241,57,0.00683994528044,0.99316005472,0.0
58,3,1000,241,58,0.00135317997294,0.998646820027,0.0
59,3,1000,241,59,0.00130208333333,0.998697916667,0.0
60,3,1000,241,60,0.00134952766532,0.998650472335,0.0
61,3,1000,241,61,0.0,1.0,0.0
62,3,1000,241,62,0.0,1.0,0.0
63,3,1000,241,63,0.0,1.0,0.0
64,3,1000,241,64,0.0,1.0,0.0
65,3,1000,241,65,0.0,1.0,0.0
66,3,1000,241,66,0.0,1.0,0.0
67,3,1000,241,67,0.0,1.0,0.0
68,3,1000,241,68,0.0,1.0,0.0
69,3,1000,241,69,0.0,1.0,0.0
70,3,1000,241,70,0.0,1.0,0.0
71,3,1000,241,71,0.0,1.0,0.0
72,3,1000,241,72,0.0,1.0,0.0
73,3,1000,241,73,0.0,1.0,0.0
74,3,1000,241,74,0.0,1.0,0.0
75,3,1000,241,75,0.0,1.0,0.0
76,3,1000,241,76,0.0,1.0,0.0
77,3,1000,241,77,0.0,1.0,0.0
78,3,1000,241,78,0.0,1.0,0.0
79,3,1000,241,79,0.0,1.0,0.0
80,3,1000,241,80,0.0,1.0,0.0
81,3,1000,241,81,0.0,1.0,0.0
82,3,1000,241,82,0.0,1.0,0.0
83,3,1000,241,83,0.0,1.0,0.0
84,3,1000,241,84,0.0,1.0,0.0
85,3,1000,241,85,0.0,1.0,0.0
86,3,1000,241,86,0.0,1.0,0.0
87,3,1000,241,87,0.0,1.0,0.0
88,3,1000,241,88,0.0,1.0,0.0
89,3,1000,241,89,0.0,1.0,0.0
90,3,1000,241,90,0.0,1.0,0.0
91,3,1000,241,91,0.0,1.0,0.0
92,3,1000,241,92,0.0,1.0,0.0
93,3,1000,241,93,0.0,1.0,0.0
94,3,1000,241,94,0.0,1.0,0.0
95,3,1000,241,95,0.0,1.0,0.0
96,3,1000,241,96,0.0,1.0,0.0
97,3,1000,241,97,0.0,1.0,0.0
98,3,1000,241,98,0.0,1.0,0.0
99,3,1000,241,99,0.0,1.0,0.0
100,3,1000,241,100,0.0,1.0,0.0
101,3,1000,241,101,0.0,1.0,0.0
102,3,1000,241,102,0.0,1.0,0.0
103,3,1000,241,103,0.0,1.0,0.0
104,3,1000,241,104,0.0,1.0,0.0
105,3,1000,241,105,0.0,1.0,0.0
106,3,1000,241,106,0.0,1.0,0.0
107,3,1000,241,107,0.0,1.0,0.0
108,3,1000,241,108,0.0,1.0,0.0
109,3,1000,241,109,0.0,1.0,0.0
110,3,1000,241,110,0.0,1.0,0.0
111,3,1000,241,111,0.0,1.0,0.0
112,3,1000,241,112,0.0,1.0,0.0
113,3,1000,241,113,0.0,1.0,0.0
114,3,1000,241,114,0.0,1.0,0.0
115,3,1000,241,115,0.0,1.0,0.0
116,3,1000,241,116,0.0,1.0,0.0
117,3,1000,241,117,0.0,1.0,0.0
118,3,1000,241,118,0.0,1.0,0.0
119,3,1000,241,119,0.0,1.0,0.0
120,3,1000,241,120,0.0,1.0,0.0
121,3,1000,241,121,0.0,1.0,0.0
122,3,1000,241,122,0.0,1.0,0.0
123,3,1000,241,123,0.0,1.0,0.0
124,3,1000,241,124,0.0,1.0,0.0
125,3,1000,241,125,0.0,1.0,0.0
126,3,1000,241,126,0.0,1.0,0.0
127,3,1000,241,127,0.0,1.0,0.0
128,3,1000,241,128,0.0,1.0,0.0
129,3,1000,241,129,0.0,1.0,0.0
130,3,1000,241,130,0.0,1.0,0.0
131,3,1000,241,131,0.0,1.0,0.0
132,3,1000,241,132,0.0,1.0,0.0
133,3,1000,241,133,0.0,1.0,0.0
134,3,1000,241,134,0.0,1.0,0.0
135,3,1000,241,135,0.0,1.0,0.0
136,3,1000,241,136,0.0,1.0,0.0
137,3,1000,241,137,0.0,1.0,0.0
138,3,1000,241,138,0.0,1.0,0.0
139,3,1000,241,139,0.0,1.0,0.0
140,3,1000,241,140,0.0,1.0,0.0
141,3,1000,241,141,0.0,1.0,0.0
142,3,1000,241,142,0.0,1.0,0.0
143,3,1000,241,143,0.0,1.0,0.0
144,3,1000,241,144,0.0,1.0,0.0
145,3,1000,241,145,0.0,1.0,0.0
146,3,1000,241,146,0.0,1.0,0.0
147,3,1000,241,147,0.0,1.0,0.0
148,3,1000,241,148,0.0,1.0,0.0
149,3,1000,241,149,0.0,1.0,0.0
150,3,1000,241,150,0.0,1.0,0.0
151,3,1000,241,151,0.0,1.0,0.0
152,3,1000,241,152,0.0,1.0,0.0
153,3,1000,241,153,0.0,1.0,0.0
154,3,1000,241,154,0.0,1.0,0.0
155,3,1000,241,155,0.0,1.0,0.0
156,3,1000,241,156,0.0,1.0,0.0
157,3,1000,241,157,0.0,1.0,0.0
158,3,1000,241,158,0.0,1.0,0.0
159,3,1000,241,159,0.0,1.0,0.0
160,3,1000,241,160,0.0,1.0,0.0
161,3,1000,241,161,0.0,1.0,0.0
162,3,1000,241,162,0.0,1.0,0.0
163,3,1000,241,163,0.0,1.0,0.0
164,3,1000,241,164,0.0,1.0,0.0
165,3,1000,241,165,0.0,1.0,0.0
166,3,1000,241,166,0.0,1.0,0.0
167,3,1000,241,167,0.0,1.0,0.0
168,3,1000,241,168,0.0,1.0,0.0
169,3,1000,241,169,0.0,1.0,0.0
170,3,1000,241,170,0.0,1.0,0.0
171,3,1000,241,171,0.0,1.0,0.0
172,3,1000,241,172,0.0,1.0,0.0
173,3,1000,241,173,0.0,1.0,0.0
174,3,1000,241,174,0.0,1.0,0.0
175,3,1000,241,175,0.0,1.0,0.0
176,3,1000,241,176,0.0,1.0,0.0
177,3,1000,241,177,0.0,1.0,0.0
178,3,1000,241,178,0.0,1.0,0.0
179,3,1000,241,179,0.0,1.0,0.0
180,3,1000,241,180,0.0,1.0,0.0
181,3,1000,241,181,0.0,1.0,0.0
182,3,1000,241,182,0.0,1.0,0.0
183,3,1000,241,183,0.0,1.0,0.0
184,3,1000,241,184,0.0,1.0,0.0
185,3,1000,241,185,0.0,1.0,0.0
186,3,1000,241,186,0.0,1.0,0.0
187,3,1000,241,187,0.0,1.0,0.0
188,3,1000,241,188,0.0,1.0,0.0
189,3,1000,241,189,0.0,1.0,0.0
190,3,1000,241,190,0.0,1.0,0.0
191,3,1000,241,191,0.0,1.0,0.0
192,3,1000,241,192,0.0,1.0,0.0
193,3,1000,241,193,0.0,1.0,0.0
194,3,1000,241,194,0.0,1.0,0.0
195,3,1000,241,195,0.0,1.0,0.0
196,3,1000,241,196,0.0,1.0,0.0
197,3,1000,241,197,0.0,1.0,0.0
198,3,1000,241,198,0.0,1.0,0.0
199,3,1000,241,199,0.0,1.0,0.0
200,3,1000,241,200,0.0,1.0,0.0
201,3,1000,241,201,0.0,1.0,0.0
202,3,1000,241,202,0.0,1.0,0.0
203,3,1000,241,203,0.0,1.0,0.0
204,3,1000,241,204,0.0,1.0,0.0
205,3,1000,241,205,0.0,1.0,0.0
206,3,1000,241,206,0.0,1.0,0.0
207,3,1000,241,207,0.0,1.0,0.0
208,3,1000,241,208,0.0,1.0,0.0
209,3,1000,241,209,0.0,1.0,0.0
210,3,1000,241,210,0.0,1.0,0.0
211,3,1000,241,211,0.0,1.0,0.0
212,3,1000,241,212,0.0,1.0,0.0
213,3,1000,241,213,0.0,1.0,0.0
214,3,1000,241,214,0.0,1.0,0.0
215,3,1000,241,215,0.0,1.0,0.0
216,3,1000,241,216,0.0,1.0,0.0
217,3,1000,241,217,0.0,1.0,0.0
218,3,1000,241,218,0.0,1.0,0.0
219,3,1000,241,219,0.0,1.0,0.0
220,3,1000,241,220,0.0,1.0,0.0
221,3,1000,241,221,0.0,1.0,0.0
222,3,1000,241,222,0.0,1.0,0.0
223,3,1000,241,223,0.0,1.0,0.0
224,3,1000,241,224,0.0,1.0,0.0
225,3,1000,241,225,0.0,1.0,0.0
226,3,1000,241,226,0.0,1.0,0.0
227,3,1000,241,227,0.0,1.0,0.0
228,3,1000,241,228,0.0,1.0,0.0
229,3,1000,241,229,0.0,1.0,0.0
230,3,1000,241,230,0.0,1.0,0.0
231,3,1000,241,231,0.0,1.0,0.0
232,3,1000,241,232,0.0,1.0,0.0
233,3,1000,241,233,0.0,1.0,0.0
234,3,1000,241,234,0.0,1.0,0.0
235,3,1000,241,235,0.0,1.0,0.0
236,3,1000,241,236,0.0,1.0,0.0
237,3,1000,241,237,0.0,1.0,0.0
238,3,1000,241,238,0.0,1.0,0.0
239,3,1000,241,239,0.0,1.0,0.0
240,3,1000,241,240,0.0,1.0,0.0
241,3,1000,241,241,0.0,1.0,0.0
242,3,1000,241,242,0.0,1.0,0.0
243,3,1000,241,243,0.0,1.0,0.0
244,3,1000,241,244,0.0,1.0,0.0
245,3,1000,241,245,0.0,1.0,0.0
246,3,1000,241,246,0.0,1.0,0.0
247,3,1000,241,247,0.0,1.0,0.0
248,3,1000,241,248,0.0,1.0,0.0
249,3,1000,241,249,0.0,1.0,0.0
250,3,1000,241,250,0.0,1.0,0.0
251,3,1000,241,251,0.0,1.0,0.0
252,3,1000,241,252,0.0,1.0,0.0
253,3,1000,241,253,0.0,1.0,0.0
254,3,1000,241,254,0.0,1.0,0.0
255,3,1000,241,255,0.0,1.0,0.0
256,3,1000,241,256,0.0,1.0,0.0
257,3,1000,241,257,0.0,1.0,0.0
258,3,1000,241,258,0.0,1.0,0.0
259,3,1000,241,259,0.0,1.0,0.0
260,3,1000,241,260,0.0,1.0,0.0
261,3,1000,241,261,0.0,1.0,0.0
262,3,1000,241,262,0.0,1.0,0.0
263,3,1000,241,263,0.0,1.0,0.0
264,3,1000,241,264,0.0,1.0,0.0
265,3,1000,241,265,0.0,1.0,0.0
266,3,1000,241,266,0.0,1.0,0.0
267,3,1000,241,267,0.0,1.0,0.0
268,3,1000,241,268,0.0,1.0,0.0
269,3,1000,241,269,0.0,1.0,0.0
270,3,1000,241,270,0.0,1.0,0.0
271,3,1000,241,271,0.0,1.0,0.0
272,3,1000,241,272,0.0,1.0,0.0
273,3,1000,241,273,0.0,1.0,0.0
274,3,1000,241,274,0.0,1.0,0.0
275,3,1000,241,275,0.0,1.0,0.0
276,3,1000,241,276,0.0,1.0,0.0
277,3,1000,241,277,0.0,1.0,0.0
278,3,1000,241,278,0.0,1.0,0.0
279,3,1000,241,279,0.0,1.0,0.0
280,3,1000,241,280,0.0,1.0,0.0
281,3,1000,241,281,0.0,1.0,0.0
282,3,1000,241,282,0.0,1.0,0.0
283,3,1000,241,283,0.0,1.0,0.0
284,3,1000,241,284,0.0,1.0,0.0
285,3,1000,241,285,0.0,1.0,0.0
286,3,1000,241,286,0.0,1.0,0.0
287,3,1000,241,287,0.0,1.0,0.0
288,3,1000,241,288,0.0,1.0,0.0
289,3,1000,241,289,0.0,1.0,0.0
290,3,1000,241,290,0.0,1.0,0.0
291,3,1000,241,291,0.0,1.0,0.0
292,3,1000,241,292,0.0,1.0,0.0
293,3,1000,241,293,0.0,1.0,0.0
294,3,1000,241,294,0.0,1.0,0.0
295,3,1000,241,295,0.0,1.0,0.0
296,3,1000,241,296,0.0,1.0,0.0
297,3,1000,241,297,0.0,1.0,0.0
298,3,1000,241,298,0.0,1.0,0.0
299,3,1000,241,299,0.0,1.0,0.0
300,3,1000,241,300,0.0,1.0,0.0
301,3,1000,241,301,0.0,1.0,0.0
302,3,1000,241,302,0.0,1.0,0.0
303,3,1000,241,303,0.0,1.0,0.0
304,3,1000,241,304,0.0,1.0,0.0
305,3,1000,241,305,0.0,1.0,0.0
306,3,1000,241,306,0.0,1.0,0.0
307,3,1000,241,307,0.0,1.0,0.0
308,3,1000,241,308,0.0,1.0,0.0
309,3,1000,241,309,0.0,1.0,0.0
310,3,1000,241,310,0.0,1.0,0.0
311,3,1000,241,311,0.0,1.0,0.0
312,3,1000,241,312,0.0,1.0,0.0
313,3,1000,241,313,0.0,1.0,0.0
314,3,1000,241,314,0.0,1.0,0.0
315,3,1000,241,315,0.0,1.0,0.0
316,3,1000,241,316,0.0,1.0,0.0
317,3,1000,241,317,0.0,1.0,0.0
318,3,1000,241,318,0.0,1.0,0.0
319,3,1000,241,319,0.0,1.0,0.0
320,3,1000,241,320,0.0,1.0,0.0
321,3,1000,241,321,0.0,1.0,0.0
322,3,1000,241,322,0.0,1.0,0.0
323,3,1000,241,323,0.0,1.0,0.0
324,3,1000,241,324,0.0,1.0,0.0
325,3,1000,241,325,0.0,1.0,0.0
326,3,1000,241,326,0.0,1.0,0.0
327,3,1000,241,327,0.0,1.0,0.0
328,3,1000,241,328,0.0,1.0,0.0
329,3,1000,241,329,0.0,1.0,0.0
330,3,1000,241,330,0.0,1.0,0.0
331,3,1000,241,331,0.0,1.0,0.0
332,3,1000,241,332,0.0,1.0,0.0
333,3,1000,241,333,0.0,1.0,0.0
334,3,1000,241,334,0.0,1.0,0.0
335,3,1000,241,335,0.0,1.0,0.0
336,3,1000,241,336,0.0,1.0,0.0
337,3,1000,241,337,0.0,1.0,0.0
338,3,1000,241,338,0.0,1.0,0.0
339,3,1000,241,339,0.0,1.0,0.0
340,3,1000,241,340,0.0,1.0,0.0
341,3,1000,241,341,0.0,1.0,0.0
342,3,1000,241,342,0.0,1.0,0.0
343,3,1000,241,343,0.0,1.0,0.0
344,3,1000,241,344,0.0,1.0,0.0
345,3,1000,241,345,0.0,1.0,0.0
346,3,1000,241,346,0.0,1.0,0.0
347,3,1000,241,347,0.0,1.0,0.0
348,3,1000,241,348,0.0,1.0,0.0
349,3,1000,241,349,0.0,1.0,0.0
350,3,1000,241,350,0.0,1.0,0.0
351,3,1000,241,351,0.0,1.0,0.0
352,3,1000,241,352,0.0,1.0,0.0
353,3,1000,241,353,0.0,1.0,0.0
354,3,1000,241,354,0.0,1.0,0.0
355,3,1000,241,355,0.0,1.0,0.0
356,3,1000,241,356,0.0,1.0,0.0
357,3,1000,241,357,0.0,1.0,0.0
358,3,1000,241,358,0.0,1.0,0.0
359,3,1000,241,359,0.0,1.0,0.0
360,3,1000,241,360,0.0,1.0,0.0
361,3,1000,241,361,0.0,1.0,0.0
362,3,1000,241,362,0.0,1.0,0.0
363,3,1000,241,363,0.0,1.0,0.0
364,3,1000,241,364,0.0,1.0,0.0
365,3,1000,241,365,0.0,1.0,0.0
366,3,1000,241,366,0.0,1.0,0.0
367,3,1000,241,367,0.0,1.0,0.0
368,3,1000,241,368,0.0,1.0,0.0
369,3,1000,241,369,0.0,1.0,0.0
370,3,1000,241,370,0.0,1.0,0.0
371,3,1000,241,371,0.0,1.0,0.0
372,3,1000,241,372,0.0,1.0,0.0
373,3,1000,241,373,0.0,1.0,0.0
374,3,1000,241,374,0.0,1.0,0.0
375,3,1000,241,375,0.0,1.0,0.0
376,3,1000,241,376,0.0,1.0,0.0
377,3,1000,241,377,0.0,1.0,0.0
378,3,1000,241,378,0.0,1.0,0.0
379,3,1000,241,379,0.0,1.0,0.0
380,3,1000,241,380,0.0,1.0,0.0
381,3,1000,241,381,0.0,1.0,0.0
382,3,1000,241,382,0.0,1.0,0.0
383,3,1000,241,383,0.0,1.0,0.0
384,3,1000,241,384,0.0,1.0,0.0
385,3,1000,241,385,0.0,1.0,0.0
386,3,1000,241,386,0.0,1.0,0.0
387,3,1000,241,387,0.0,1.0,0.0
388,3,1000,241,388,0.0,1.0,0.0
389,3,1000,241,389,0.0,1.0,0.0
390,3,1000,241,390,0.0,1.0,0.0
