,trial,N,cm_count,rounds_played,adoption_established,adoption_alternative,adoption_other
0,5,1000,241,0,1.0,0.0,0.0
1,5,1000,241,1,1.0,0.0,0.0
2,5,1000,241,2,1.0,0.0,0.0
3,5,1000,241,3,1.0,0.0,0.0
4,5,1000,241,4,1.0,0.0,0.0
5,5,1000,241,5,1.0,0.0,0.0
6,5,1000,241,6,0.998714652956,0.0012853470437,0.0
7,5,1000,241,7,0.989501312336,0.010498687664,0.0
8,5,1000,241,8,0.992217898833,0.00778210116732,0.0
9,5,1000,241,9,0.977835723598,0.0221642764016,0.0
10,5,1000,241,10,0.979946524064,0.0200534759358,0.0
11,5,1000,241,11,0.982028241335,0.017971758665,0.0
12,5,1000,241,12,0.969127516779,0.0308724832215,0.0
13,5,1000,241,13,0.969696969697,0.030303030303,0.0
14,5,1000,241,14,0.950777202073,0.0492227979275,0.0
15,5,1000,241,15,0.964047936085,0.0359520639148,0.0
16,5,1000,241,16,0.941875825627,0.0581241743725,0.0
17,5,1000,241,17,0.947780678851,0.0522193211488,0.0
18,5,1000,241,18,0.924281984334,0.0757180156658,0.0
19,5,1000,241,19,0.932450331126,0.0675496688742,0.0
20,5,1000,241,20,0.922266139657,0.0777338603426,0.0
21,5,1000,241,21,0.911444141689,0.0885558583106,0.0
22,5,1000,241,22,0.902887139108,0.0971128608924,0.0
23,5,1000,241,23,0.898701298701,0.101298701299,0.0
24,5,1000,241,24,0.871967654987,0.128032345013,0.0
25,5,1000,241,25,0.88409703504,0.11590296496,0.0
26,5,1000,241,26,0.904240766074,0.0957592339261,0.0
27,5,1000,241,27,0.870967741935,0.129032258065,0.0
28,5,1000,241,28,0.878326996198,0.121673003802,0.0
29,5,1000,241,29,0.840637450199,0.159362549801,0.0
30,5,1000,241,30,0.841830065359,0.158169934641,0.0
31,5,1000,241,31,0.797829036635,0.202170963365,0.0
32,5,1000,241,32,0.841623036649,0.158376963351,0.0
33,5,1000,241,33,0.840579710145,0.159420289855,0.0
34,5,1000,241,34,0.802083333333,0.197916666667,0.0
35,5,1000,241,35,0.785809906292,0.214190093708,0.0
36,5,1000,241,36,0.782330345711,0.217669654289,0.0
37,5,1000,241,37,0.772667542707,0.227332457293,0.0
38,5,1000,241,38,0.749024707412,0.250975292588,0.0
39,5,1000,241,39,0.683246073298,0.316753926702,0.0
40,5,1000,241,40,0.712401055409,0.287598944591,0.0
41,5,1000,241,41,0.691798941799,0.308201058201,0.0
42,5,1000,241,42,0.604712041885,0.395287958115,0.0
43,5,1000,241,43,0.571056062581,0.428943937419,0.0
44,5,1000,241,44,0.553908355795,0.446091644205,0.0
