,trial,N,cm_count,rounds_played,adoption_established,adoption_alternative,adoption_other
0,6,1000,241,0,1.0,0.0,0.0
1,6,1000,241,1,1.0,0.0,0.0
2,6,1000,241,2,1.0,0.0,0.0
3,6,1000,241,3,1.0,0.0,0.0
4,6,1000,241,4,1.0,0.0,0.0
5,6,1000,241,5,1.0,0.0,0.0
6,6,1000,241,6,1.0,0.0,0.0
7,6,1000,241,7,0.994701986755,0.00529801324503,0.0
8,6,1000,241,8,0.993224932249,0.00677506775068,0.0
9,6,1000,241,9,0.981981981982,0.018018018018,0.0
10,6,1000,241,10,0.974834437086,0.0251655629139,0.0
11,6,1000,241,11,0.974967061924,0.0250329380764,0.0
12,6,1000,241,12,0.950600801068,0.0493991989319,0.0
13,6,1000,241,13,0.944370860927,0.0556291390728,0.0
14,6,1000,241,14,0.938829787234,0.061170212766,0.0
15,6,1000,241,15,0.947368421053,0.0526315789474,0.0
16,6,1000,241,16,0.922879177378,0.0771208226221,0.0
17,6,1000,241,17,0.919678714859,0.0803212851406,0.0
18,6,1000,241,18,0.936997319035,0.0630026809651,0.0
19,6,1000,241,19,0.895483870968,0.104516129032,0.0
20,6,1000,241,20,0.923175416133,0.0768245838668,0.0
21,6,1000,241,21,0.898039215686,0.101960784314,0.0
22,6,1000,241,22,0.8772845953,0.1227154047,0.0
23,6,1000,241,23,0.913333333333,0.0866666666667,0.0
24,6,1000,241,24,0.856955380577,0.143044619423,0.0
25,6,1000,241,25,0.846254927727,0.153745072273,0.0
26,6,1000,241,26,0.850066934404,0.149933065596,0.0
27,6,1000,241,27,0.858288770053,0.141711229947,0.0
28,6,1000,241,28,0.819628647215,0.180371352785,0.0
29,6,1000,241,29,0.793148880105,0.206851119895,0.0
30,6,1000,241,30,0.797082228117,0.202917771883,0.0
31,6,1000,241,31,0.777472527473,0.222527472527,0.0
32,6,1000,241,32,0.767969735183,0.232030264817,0.0
33,6,1000,241,33,0.766977363515,0.233022636485,0.0
34,6,1000,241,34,0.727023319616,0.272976680384,0.0
35,6,1000,241,35,0.684967320261,0.315032679739,0.0
36,6,1000,241,36,0.652058432935,0.347941567065,0.0
37,6,1000,241,37,0.600518806744,0.399481193256,0.0
38,6,1000,241,38,0.557441253264,0.442558746736,0.0
39,6,1000,241,39,0.520584329349,0.479415670651,0.0
40,6,1000,241,40,0.503337783712,0.496662216288,0.0
41,6,1000,241,41,0.432114882507,0.567885117493,0.0
42,6,1000,241,42,0.397368421053,0.602631578947,0.0
